"projectID","sampleID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","filterVol","sampleType","sampleAmount","POC","PON","metadataID","comments","flag","updateID"
3,"WL_DeepHole_20190513_925_Hypo_8_Limno.Sample.20160505","WL","DeepHole","2019-05-13","2019-05-13 9:25","Hypo",8,8,140,"filter",NA,1.114,0.129,NA,NA,NA,NA
34,"PA_DeepHole_20190515_845_PML_1_Limno.Sample.20160505","PA","DeepHole","2019-05-15","2019-05-15 8:45","PML",0,1,140,"filter",NA,0.586,0.086,NA,NA,NA,NA
17,"TU_DeepHole_20190725_840_PML_2_Limno.Sample.20160505","TU","DeepHole","2019-07-25","2019-07-25 8:40","PML",0,2,140,"filter",NA,1.079,0.136,NA,NA,NA,NA
34,"PA_DeepHole_20190725_838_PML_2.5_Limno.Sample.20160505","PA","DeepHole","2019-07-25","2019-07-25 8:38","PML",0,2.5,140,"filter",NA,0.6,0.057,NA,NA,NA,NA
34,"PA_DeepHole_20190725_838_Hypo_7.5_Limno.Sample.20160505","PA","DeepHole","2019-07-25","2019-07-25 8:38","Hypo",7.5,7.5,140,"filter",NA,1.086,0.129,NA,NA,NA,NA
34,"PE_DeepHole_20190725_1018_PML_2_Limno.Sample.20160505","PE","DeepHole","2019-07-25","2019-07-25 10:18","PML",0,2,140,"filter",NA,1.021,0.15,NA,NA,NA,NA
34,"PE_DeepHole_20190725_1018_Hypo_9_Limno.Sample.20160505","PE","DeepHole","2019-07-25","2019-07-25 10:18","Hypo",9,9,140,"filter",NA,0.864,0.114,NA,NA,NA,NA
3,"ME_Outlet_20190730_1041_Surface_0_Limno.Sample.20160505","ME","Outlet","2019-07-30","2019-07-30 10:41","Surface",0,0,140,"filter",NA,0.65,0.086,NA,NA,NA,NA
34,"PA_DeepHole_20190815_825_PML_3.5_Limno.Sample.20160505","PA","DeepHole","2019-08-15","2019-08-15 8:25","PML",0,3.5,140,"filter",NA,0.829,0.071,NA,NA,NA,NA
34,"PA_DeepHole_20190815_825_Hypo_8_Limno.Sample.20160505","PA","DeepHole","2019-08-15","2019-08-15 8:25","Hypo",8,8,140,"filter",NA,1,0.121,NA,NA,NA,NA
34,"PE_DeepHole_20190815_935_PML_2.5_Limno.Sample.20160505","PE","DeepHole","2019-08-15","2019-08-15 9:35","PML",0,2.5,140,"filter",NA,0.564,0.079,NA,NA,NA,NA
34,"PE_DeepHole_20190815_935_Hypo_10_Limno.Sample.20160505","PE","DeepHole","2019-08-15","2019-08-15 9:35","Hypo",10,10,140,"filter",NA,0.979,0.136,NA,NA,NA,NA
3,"WL_DeepHole_20190820_840_PML_2.5_Limno.Sample.20160505","WL","DeepHole","2019-08-20","2019-08-20 8:40","PML",0,2.5,140,"filter",NA,0.507,0.086,NA,NA,NA,NA
3,"WL_DeepHole_20190820_840_Hypo_8_Limno.Sample.20160505","WL","DeepHole","2019-08-20","2019-08-20 8:40","Hypo",8,8,140,"filter",NA,1.636,0.157,NA,NA,NA,NA
34,"PA_DeepHole_20190829_855_PML_3.5_Limno.Sample.20160505","PA","DeepHole","2019-08-29","2019-08-29 8:55","PML",0,3.5,140,"filter",NA,0.636,0.071,NA,NA,NA,NA
34,"PA_DeepHole_20190829_855_Hypo_7.5_Limno.Sample.20160505","PA","DeepHole","2019-08-29","2019-08-29 8:55","Hypo",7.5,7.5,60,"filter",NA,2.617,0.35,NA,NA,NA,NA
34,"PE_DeepHole_20190829_1110_PML_3_Limno.Sample.20160505","PE","DeepHole","2019-08-29","2019-08-29 11:10","PML",0,3,140,"filter",NA,0.593,0.079,NA,NA,NA,NA
34,"PE_DeepHole_20190829_1110_Hypo_9_Limno.Sample.20160505","PE","DeepHole","2019-08-29","2019-08-29 11:10","Hypo",9,9,140,"filter",NA,0.886,0.129,NA,NA,NA,NA
37,"DS_DeepHole_20190830_950_Surface_0_fishScapesLimno.20190319","DS","DeepHole","2019-08-30","2019-08-30 9:50","Surface",0,0,120,"filter",NA,1.15,0.133,NA,NA,NA,NA
3,"FE_Inlet1_20191006_1040_Surface_0_Limno.Sample.20160505","FE","Inlet1","2019-10-06","2019-10-06 10:40","Surface",0,0,140,"filter",NA,0.393,0.029,NA,NA,NA,NA
15,"HB_DeepHole_20191006_1047_PML_4_Limno.Sample.20160505","HB","DeepHole","2019-10-06","2019-10-06 10:47","PML",0,4,140,"filter",NA,0.679,0.1,NA,NA,NA,NA
15,"HB_DeepHole_20191006_1047_Hypo_8_Limno.Sample.20160505","HB","DeepHole","2019-10-06","2019-10-06 10:47","Hypo",8,8,140,"filter",NA,0.621,0.086,NA,NA,NA,NA
33,"HB_DeepHole_20190531_1150_PML_0.75_Limno.Sample.20160505","HB","DeepHole","2019-05-31","2019-05-31 11:50","PML",0,0.75,140,"filter",NA,0.543,0.057,NA,NA,NA,NA
15,"MO_Inlet3_20190603_1010_Surface_0_Limno.Sample.20160505","MO","Inlet3","2019-06-03","2019-06-03 10:10","Surface",0,0,140,"filter",NA,1.807,0.15,NA,NA,NA,NA
3,"FE_DeepHole_20190604_1011_PML_1.5_Limno.Sample.20160505","FE","DeepHole","2019-06-04","2019-06-04 10:11","PML",0,1.5,140,"filter",NA,0.843,0.114,NA,NA,NA,NA
3,"FE_DeepHole_20190604_1011_Hypo_8_Limno.Sample.20160505","FE","DeepHole","2019-06-04","2019-06-04 10:11","Hypo",8,8,140,"filter",NA,0.843,0.093,NA,NA,NA,NA
3,"FE_Inlet1_20190604_1011_Surface_0_Limno.Sample.20160505","FE","Inlet1","2019-06-04","2019-06-04 10:11","Surface",0,0,140,"filter",NA,0.393,0.029,NA,NA,NA,NA
15,"HB_DeepHole_20190607_1112_PML_0.5_Limno.Sample.20160505","HB","DeepHole","2019-06-07","2019-06-07 11:12","PML",0,0.5,140,"filter",NA,0.821,0.1,NA,NA,NA,NA
15,"HB_DeepHole_20190607_1112_Hypo_4_Limno.Sample.20160505","HB","DeepHole","2019-06-07","2019-06-07 11:12","Hypo",4,4,140,"filter",NA,0.907,0.121,NA,NA,NA,NA
15,"HB_Outlet_20190607_1112_Surface_0_Limno.Sample.20160505","HB","Outlet","2019-06-07","2019-06-07 11:12","Surface",0,0,140,"filter",NA,0.95,0.093,NA,NA,NA,NA
15,"BO_DeepHole_20190610_1105_PML_0.5_Limno.Sample.20160505","BO","DeepHole","2019-06-10","2019-06-10 11:05","PML",0,0.5,140,"filter",NA,0.664,0.086,NA,NA,NA,NA
15,"BO_DeepHole_20190610_1105_Hypo_2.5_Limno.Sample.20160505","BO","DeepHole","2019-06-10","2019-06-10 11:05","Hypo",2.5,2.5,140,"filter",NA,2.5,0.364,NA,NA,NA,NA
15,"NG_DeepHole_20190610_858_PML_0.5_Limno.Sample.20160505","NG","DeepHole","2019-06-10","2019-06-10 8:58","PML",0,0.5,140,"filter",NA,1.014,0.15,NA,NA,NA,NA
15,"NG_DeepHole_20190610_858_Hypo_3.5_Limno.Sample.20160505","NG","DeepHole","2019-06-10","2019-06-10 8:58","Hypo",3.5,3.5,140,"filter",NA,0.864,0.107,NA,NA,NA,NA
3,"FE_DeepHole_20190611_1058_PML_1_Limno.Sample.20160505","FE","DeepHole","2019-06-11","2019-06-11 10:58","PML",0,1,140,"filter",NA,0.764,0.114,NA,NA,NA,NA
3,"FE_DeepHole_20190611_1058_Hypo_8_Limno.Sample.20160505","FE","DeepHole","2019-06-11","2019-06-11 10:58","Hypo",8,8,140,"filter",NA,0.821,0.093,NA,NA,NA,NA
17,"MO_Inlet2_20190703_1040_Surface_0_Limno.Sample.20160505","MO","Inlet2","2019-07-03","2019-07-03 10:40","Surface",0,0,140,"filter",NA,0.756,0.095,NA,NA,NA,NA
15,"PA_DeepHole_20190522_1050_PML_3_Limno.Sample.20160505","PA","DeepHole","2019-05-22","2019-05-22 10:50","PML",0,3,140,"filter",NA,0.463,0.065,NA,NA,NA,NA
37,"ER_DeepHole_20190823_1130_Surface_0_fishScapesLimno.20190319","ER","DeepHole","2019-08-23","2019-08-23 11:30","Surface",0,0,140,"filter",NA,0.714,0.152,NA,NA,NA,NA
15,"CR_Outlet_20191006_845_Surface_0_Limno.Sample.20160505","CR","Outlet","2019-10-06","2019-10-06 8:45","Surface",0,0,140,"filter",NA,0.576,0.08,NA,NA,NA,NA
3,"FE_DeepHole_20191006_1040_PML_4_Limno.Sample.20160505","FE","DeepHole","2019-10-06","2019-10-06 10:40","PML",0,4,140,"filter",NA,0.359,0.068,NA,NA,NA,NA
3,"FE_DeepHole_20191006_1040_Hypo_8_Limno.Sample.20160505","FE","DeepHole","2019-10-06","2019-10-06 10:40","Hypo",8,8,140,"filter",NA,0.575,0.085,NA,NA,NA,NA
33,"HB_DeepHole_20190531_1150_Hypo_3.5_Limno.Sample.20160505","HB","DeepHole","2019-05-31","2019-05-31 11:50","Hypo",3.5,3.5,140,"filter",NA,0.834,0.143,NA,NA,NA,NA
15,"MO_DeepHole_20190603_1010_PML_1_Limno.Sample.20160505","MO","DeepHole","2019-06-03","2019-06-03 10:10","PML",0,1,140,"filter",NA,1.086,0.131,NA,NA,NA,NA
15,"MO_DeepHole_20190603_1010_Hypo_6.5_Limno.Sample.20160505","MO","DeepHole","2019-06-03","2019-06-03 10:10","Hypo",6.5,6.5,140,"filter",NA,2.567,0.337,NA,NA,NA,NA
15,"MO_Outlet_20190603_1010_Surface_0_Limno.Sample.20160505","MO","Outlet","2019-06-03","2019-06-03 10:10","Surface",0,0,140,"filter",NA,0.819,0.098,NA,NA,NA,NA
17,"CR_DeepHole_20190620_934_PML_3_Limno.Sample.20160505","CR","DeepHole","2019-06-20","2019-06-20 9:34","PML",0,3,140,"filter",NA,0.902,0.083,NA,NA,NA,NA
17,"CR_DeepHole_20190620_934_Hypo_11_Limno.Sample.20160505","CR","DeepHole","2019-06-20","2019-06-20 9:34","Hypo",0.34,11,140,"filter",NA,0.942,0.083,NA,NA,NA,NA
17,"CR_Outlet_20190620_934_Surface_0_Limno.Sample.20160505","CR","Outlet","2019-06-20","2019-06-20 9:34","Surface",0,0,140,"filter",NA,1.507,0.133,NA,NA,NA,NA
34,"PA_DeepHole_20190620_838_PML_2_Limno.Sample.20160505","PA","DeepHole","2019-06-20","2019-06-20 8:38","PML",0,2,140,"filter",NA,0.736,0.052,NA,NA,NA,NA
34,"PA_DeepHole_20190620_838_Hypo_8_Limno.Sample.20160505","PA","DeepHole","2019-06-20","2019-06-20 8:38","Hypo",8,8,140,"filter",NA,1.53,0.164,NA,NA,NA,NA
34,"PE_DeepHole_20190620_1000_PML_1_Limno.Sample.20160505","PE","DeepHole","2019-06-20","2019-06-20 10:00","PML",0,1,140,"filter",NA,0.797,0.074,NA,NA,NA,NA
34,"PE_DeepHole_20190620_1000_Hypo_9_Limno.Sample.20160505","PE","DeepHole","2019-06-20","2019-06-20 10:00","Hypo",9,9,140,"filter",NA,1.377,0.137,NA,NA,NA,NA
17,"HB_DeepHole_20190621_940_PML_0.5_Limno.Sample.20160505","HB","DeepHole","2019-06-21","2019-06-21 9:40","PML",0,0.5,140,"filter",NA,0.978,0.078,NA,NA,NA,NA
17,"HB_Outlet_20190621_940_Surface_0_Limno.Sample.20160505","HB","Outlet","2019-06-21","2019-06-21 9:40","Surface",0,0,140,"filter",NA,1.017,0.082,NA,NA,NA,NA
17,"ME_DeepHole_20190703_847_PML_1.5_Limno.Sample.20160505","ME","DeepHole","2019-07-03","2019-07-03 8:47","PML",0,1.5,140,"filter",NA,0.738,0.077,NA,NA,NA,NA
17,"ME_DeepHole_20190703_847_Hypo_3_Limno.Sample.20160505","ME","DeepHole","2019-07-03","2019-07-03 8:47","Hypo",3,3,140,"filter",NA,0.886,0.091,NA,NA,NA,NA
17,"MO_DeepHole_20190703_1040_PML_1_Limno.Sample.20160505","MO","DeepHole","2019-07-03","2019-07-03 10:40","PML",0,1,140,"filter",NA,1.954,0.119,NA,NA,NA,NA
17,"MO_Inlet3_20190703_1040_Surface_0_Limno.Sample.20160505","MO","Inlet3","2019-07-03","2019-07-03 10:40","Surface",0,0,140,"filter",NA,1.943,0.165,NA,NA,NA,NA
34,"PE_DeepHole_20190801_948_PML_2_Limno.Sample.20160505","PE","DeepHole","2019-08-01","2019-08-01 9:48","PML",0,2,140,"filter",NA,1.802,0.293,NA,NA,NA,NA
3,"WL_DeepHole_20190813_847_Hypo_8_Limno.Sample.20160505","WL","DeepHole","2019-08-13","2019-08-13 8:47","Hypo",8,8,140,"filter",NA,0.747,0.119,NA,NA,NA,NA
15,"CR_DeepHole_20190814_1150_PML_4_Limno.Sample.20160505","CR","DeepHole","2019-08-14","2019-08-14 11:50","PML",0,4,140,"filter",NA,0.896,0.082,NA,NA,NA,NA
15,"CR_DeepHole_20190814_1150_Hypo_8_Limno.Sample.20160505","CR","DeepHole","2019-08-14","2019-08-14 11:50","Hypo",8,8,140,"filter",NA,0.757,0.071,NA,NA,NA,NA
15,"CR_Outlet_20190814_1150_Surface_0_Limno.Sample.20160505","CR","Outlet","2019-08-14","2019-08-14 11:50","Surface",0,0,140,"filter",NA,4.426,0.393,NA,NA,NA,NA
37,"PN_DeepHole_20190818_1245_Surface_0_fishScapesLimno.20190319","PN","DeepHole","2019-08-18","2019-08-18 12:45","Surface",0,0,140,"filter",NA,1.257,0.157,NA,NA,NA,NA
37,"PT_DeepHole_20190819_1235_Surface_0_fishScapesLimno.20190319","PT","DeepHole","2019-08-19","2019-08-19 12:35","Surface",0,0,140,"filter",NA,0.993,0.104,NA,NA,NA,NA
37,"WB_DeepHole_20190819_1330_Surface_0_fishScapesLimno.20190319","WB","DeepHole","2019-08-19","2019-08-19 13:30","Surface",0,0,140,"filter",NA,0.942,0.391,NA,NA,NA,NA
37,"AQ_DeepHole_20190823_1330_Surface_0_fishScapesLimno.20190319","AQ","DeepHole","2019-08-23","2019-08-23 13:30","Surface",0,0,140,"filter",NA,1.019,0.098,NA,NA,NA,NA
3,"FE_DeepHole_20190513_1020_PML_0.5_Limno.Sample.20160505","FE","DeepHole","2019-05-13","2019-05-13 10:20","PML",0,0.5,100,"filter",NA,1.412,0.156,NA,NA,NA,NA
15,"PA_DeepHole_20190605_930_Hypo_6.5_Limno.Sample.20160505","PA","DeepHole","2019-06-05","2019-06-05 9:30","Hypo",6.5,6.5,140,"filter",NA,1.682,0.19,NA,NA,NA,NA
15,"PE_DeepHole_20190605_830_PML_1_Limno.Sample.20160505","PE","DeepHole","2019-06-05","2019-06-05 8:30","PML",0,1,140,"filter",NA,0.921,0.083,NA,NA,NA,NA
15,"PE_DeepHole_20190605_830_Hypo_9_Limno.Sample.20160505","PE","DeepHole","2019-06-05","2019-06-05 8:30","Hypo",9,9,140,"filter",NA,1.065,0.12,NA,NA,NA,NA
3,"ME_DeepHole_20190606_931_PML_1_Limno.Sample.20160505","ME","DeepHole","2019-06-06","2019-06-06 9:31","PML",0,1,140,"filter",NA,0.799,0.089,NA,NA,NA,NA
3,"ME_DeepHole_20190606_931_Hypo_3_Limno.Sample.20160505","ME","DeepHole","2019-06-06","2019-06-06 9:31","Hypo",3,3,140,"filter",NA,0.984,0.106,NA,NA,NA,NA
3,"ME_Outlet_20190606_931_Surface_0_Limno.Sample.20160505","ME","Outlet","2019-06-06","2019-06-06 9:31","Surface",0,0,140,"filter",NA,1.201,0.104,NA,NA,NA,NA
3,"FE_DeepHole_20190513_1020_Hypo_8_Limno.Sample.20160505","FE","DeepHole","2019-05-13","2019-05-13 10:20","Hypo",8,8,140,"filter",NA,1,0.114,NA,NA,NA,NA
15,"CR_DeepHole_20190607_933_PML_1_Limno.Sample.20160505","CR","DeepHole","2019-06-07","2019-06-07 9:33","PML",0,1,140,"filter",NA,0.643,0.061,NA,NA,NA,NA
15,"CR_DeepHole_20190607_933_Hypo_8_Limno.Sample.20160505","CR","DeepHole","2019-06-07","2019-06-07 9:33","Hypo",8,8,140,"filter",NA,1.013,0.083,NA,NA,NA,NA
3,"FE_Inlet1_20190513_1020_Surface_0_Limno.Sample.20160505","FE","Inlet1","2019-05-13","2019-05-13 10:20","Surface",0,0,140,"filter",NA,0.703,0.068,NA,NA,NA,NA
3,"WL_DeepHole_20190513_925_PML_1.5_Limno.Sample.20160505","WL","DeepHole","2019-05-13","2019-05-13 9:25","PML",0,1.5,140,"filter",NA,1.051,0.11,NA,NA,NA,NA
17,"BO_DeepHole_20190719_930_PML_0.5_Limno.Sample.20160505","BO","DeepHole","2019-07-19","2019-07-19 9:30","PML",0,0.5,140,"filter",NA,0.991,0.147,NA,NA,NA,NA
17,"BO_DeepHole_20190719_930_Hypo_2_Limno.Sample.20160505","BO","DeepHole","2019-07-19","2019-07-19 9:30","Hypo",2,2,140,"filter",NA,1.35,0.197,NA,NA,NA,NA
17,"HB_DeepHole_20190719_1044_PML_0.5_Limno.Sample.20160505","HB","DeepHole","2019-07-19","2019-07-19 10:44","PML",0,0.5,140,"filter",NA,0.903,0.109,NA,NA,NA,NA
17,"HB_DeepHole_20190719_1044_Hypo_4_Limno.Sample.20160505","HB","DeepHole","2019-07-19","2019-07-19 10:44","Hypo",4,4,140,"filter",NA,1.101,0.148,NA,NA,NA,NA
17,"HB_Outlet_20190719_1044_Surface_0_Limno.Sample.20160505","HB","Outlet","2019-07-19","2019-07-19 10:44","Surface",0,0,140,"filter",NA,1.84,0.173,NA,NA,NA,NA
17,"BR_DeepHole_20190722_1020_PML_2.5_Limno.Sample.20160505","BR","DeepHole","2019-07-22","2019-07-22 10:20","PML",0,2.5,140,"filter",NA,0.924,0.131,NA,NA,NA,NA
17,"BR_DeepHole_20190722_1020_Hypo_4.5_Limno.Sample.20160505","BR","DeepHole","2019-07-22","2019-07-22 10:20","Hypo",4.5,4.5,140,"filter",NA,1.741,0.273,NA,NA,NA,NA
34,"PA_DeepHole_20190801_830_PML_2.5_Limno.Sample.20160505","PA","DeepHole","2019-08-01","2019-08-01 8:30","PML",0,2.5,140,"filter",NA,0.819,0.087,NA,NA,NA,NA
34,"PA_DeepHole_20190801_830_Hypo_8_Limno.Sample.20160505","PA","DeepHole","2019-08-01","2019-08-01 8:30","Hypo",8,8,140,"filter",NA,1.077,0.128,NA,NA,NA,NA
15,"HB_DeepHole_20190802_825_Hypo_3.5_Limno.Sample.20160505","HB","DeepHole","2019-08-02","2019-08-02 8:25","Hypo",3.5,3.5,140,"filter",NA,1.172,0.148,NA,NA,NA,NA
15,"ME_DeepHole_20190812_1050_PML_0.5_Limno.Sample.20160505","ME","DeepHole","2019-08-12","2019-08-12 10:50","PML",0,0.5,140,"filter",NA,0.519,0.076,NA,NA,NA,NA
15,"ME_DeepHole_20190812_1050_Hypo_2_Limno.Sample.20160505","ME","DeepHole","2019-08-12","2019-08-12 10:50","Hypo",2,2,140,"filter",NA,0.666,0.081,NA,NA,NA,NA
15,"ME_Outlet_20190812_1050_Surface_0_Limno.Sample.20160505","ME","Outlet","2019-08-12","2019-08-12 10:50","Surface",0,0,140,"filter",NA,3.046,0.312,NA,NA,NA,NA
15,"MO_Inlet1_20190812_943_Surface_0_Limno.Sample.20160505","MO","Inlet1","2019-08-12","2019-08-12 9:43","Surface",0,0,140,"filter",NA,0.528,0.05,NA,NA,NA,NA
15,"MO_Inlet2_20190812_943_Surface_0_Limno.Sample.20160505","MO","Inlet2","2019-08-12","2019-08-12 9:43","Surface",0,0,140,"filter",NA,0.956,0.106,NA,NA,NA,NA
15,"MO_Inlet3_20190812_943_Surface_0_Limno.Sample.20160505","MO","Inlet3","2019-08-12","2019-08-12 9:43","Surface",0,0,140,"filter",NA,1.303,0.147,NA,NA,NA,NA
3,"FE_DeepHole_20190813_954_PML_2_Limno.Sample.20160505","FE","DeepHole","2019-08-13","2019-08-13 9:54","PML",0,2,140,"filter",NA,0.598,0.085,NA,NA,NA,NA
3,"FE_DeepHole_20190813_954_Hypo_8_Limno.Sample.20160505","FE","DeepHole","2019-08-13","2019-08-13 9:54","Hypo",8,8,140,"filter",NA,0.759,0.088,NA,NA,NA,NA
3,"WL_DeepHole_20190813_847_PML_2.5_Limno.Sample.20160505","WL","DeepHole","2019-08-13","2019-08-13 8:47","PML",0,2.5,140,"filter",NA,0.431,0.095,NA,NA,NA,NA
15,"HB_DeepHole_20190814_1037_PML_1_Limno.Sample.20160505","HB","DeepHole","2019-08-14","2019-08-14 10:37","PML",0,1,140,"filter",NA,0.744,0.087,NA,NA,NA,NA
15,"HB_DeepHole_20190814_1037_Hypo_4.5_Limno.Sample.20160505","HB","DeepHole","2019-08-14","2019-08-14 10:37","Hypo",4.5,4.5,140,"filter",NA,1.156,0.151,NA,NA,NA,NA
15,"HB_Outlet_20190814_1037_Surface_0_Limno.Sample.20160505","HB","Outlet","2019-08-14","2019-08-14 10:37","Surface",0,0,140,"filter",NA,2.818,0.329,NA,NA,NA,NA
37,"HT_DeepHole_20190820_1335_Surface_0_fishScapesLimno.20190319","HT","DeepHole","2019-08-20","2019-08-20 13:35","Surface",0,0,140,"filter",NA,0.924,0.171,NA,NA,NA,NA
37,"ID_DeepHole_20190820_1435_Surface_0_fishScapesLimno.20190319","ID","DeepHole","2019-08-20","2019-08-20 14:35","Surface",0,0,140,"filter",NA,0.984,0.117,NA,NA,NA,NA
37,"MS_DeepHole_20190901_1315_Surface_0_fishScapesLimno.20190319","MS","DeepHole","2019-09-01","2019-09-01 13:15","Surface",0,0,120,"filter",NA,1.403,0.178,NA,NA,NA,NA
37,"SV_DeepHole_20190901_1245_Surface_0_fishScapesLimno.20190319","SV","DeepHole","2019-09-01","2019-09-01 12:45","Surface",0,0,140,"filter",NA,0.581,0.07,NA,NA,NA,NA
37,"SM_DeepHole_20190901_1345_Surface_0_fishScapesLimno.20190319","SM","DeepHole","2019-09-01","2019-09-01 13:45","Surface",0,0,140,"filter",NA,0.577,0.066,NA,NA,NA,NA
37,"BK_DeepHole_20190901_1215_Surface_0_fishScapesLimno.20190319","BK","DeepHole","2019-09-01","2019-09-01 12:15","Surface",0,0,120,"filter",NA,0.897,0.101,NA,NA,NA,NA
15,"MO_Inlet1_20191006_1233_Surface_0_Limno.Sample.20160505","MO","Inlet1","2019-10-06","2019-10-06 12:33","Surface",0,0,140,"filter",NA,0.469,0.057,NA,NA,NA,NA
